Customer ID,CohortMonth
12346,2009-12
12347,2010-10
12348,2010-09
12349,2010-04
12351,2010-11
12352,2010-11
12353,2010-10
12355,2010-05
12356,2010-10
12357,2010-11
12358,2009-12
12359,2009-12
12360,2010-02
12361,2010-01
12362,2009-12
12366,2010-03
12368,2010-03
12369,2010-03
12370,2010-02
12371,2010-03
12373,2010-02
12374,2010-04
12376,2010-10
12377,2010-04
12378,2010-05
12379,2010-06
12380,2010-02
12385,2010-11
12386,2010-12
12387,2010-10
12388,2010-05
12389,2010-02
12391,2010-02
12392,2010-04
12393,2010-10
12395,2010-04
12396,2010-02
12399,2010-03
12400,2010-10
12402,2010-02
12403,2010-07
12404,2010-01
12406,2010-01
12408,2010-07
12409,2010-05
12410,2010-07
12411,2010-10
12412,2010-06
12413,2010-11
12414,2010-09
12415,2010-06
12416,2010-02
12417,2009-12
12418,2010-03
12419,2010-10
12421,2010-07
12422,2009-12
12423,2010-08
12424,2010-06
12425,2010-09
12426,2010-02
12427,2010-12
12429,2010-06
12431,2010-01
12433,2010-08
12434,2010-11
12435,2009-12
12437,2009-12
12439,2009-12
12440,2009-12
12441,2010-12
12443,2009-12
12445,2010-10
12449,2010-09
12450,2010-08
12451,2010-06
12454,2010-10
12455,2009-12
12457,2010-09
12458,2010-08
12459,2010-04
12460,2010-09
12466,2010-01
12467,2010-10
12468,2010-01
12469,2010-06
12470,2010-01
12471,2009-12
12472,2009-12
12474,2010-02
12475,2010-10
12476,2010-07
12477,2010-03
12480,2010-07
12481,2010-04
12482,2010-02
12483,2010-01
12484,2010-01
12485,2010-06
12486,2010-10
12487,2009-12
12490,2009-12
12492,2010-11
12494,2010-05
12495,2010-03
12496,2010-03
12497,2010-03
12499,2010-05
12500,2010-02
12503,2010-05
12504,2010-04
12505,2010-10
12507,2010-05
12510,2009-12
12511,2010-10
12514,2010-03
12516,2010-04
12519,2010-08
12523,2009-12
12524,2010-02
12525,2010-03
12527,2010-06
12529,2010-06
12530,2010-03
12531,2010-01
12533,2009-12
12537,2010-10
12538,2010-11
12539,2009-12
12540,2009-12
12542,2010-03
12543,2010-09
12547,2010-07
12549,2010-01
12553,2010-10
12554,2010-09
12555,2010-01
12557,2009-12
12562,2010-09
12563,2010-10
12567,2010-02
12568,2010-03
12570,2010-01
12573,2010-08
12575,2010-07
12576,2010-07
12577,2009-12
12578,2010-09
12580,2010-05
12582,2010-05
12583,2009-12
12586,2009-12
12588,2010-04
12589,2010-01
12591,2010-10
12592,2010-07
12594,2010-03
12595,2010-07
12598,2010-03
12599,2010-05
12600,2009-12
12601,2010-10
12605,2010-09
12606,2010-01
12608,2010-10
12609,2009-12
12613,2009-12
12615,2010-03
12616,2010-11
12619,2010-05
12621,2010-02
12623,2010-01
12625,2010-04
12629,2010-10
12631,2010-01
12632,2010-05
12633,2010-07
12634,2010-06
12635,2010-09
12636,2009-12
12637,2010-06
12638,2010-03
12639,2010-03
12643,2010-04
12644,2010-01
12645,2010-02
12647,2010-01
12648,2010-01
12649,2010-01
12651,2010-08
12652,2010-10
12653,2010-07
12655,2010-10
12656,2010-05
12661,2010-09
12662,2010-04
12663,2010-02
12664,2009-12
12665,2010-02
12666,2010-11
12668,2010-01
12670,2010-02
12671,2010-04
12672,2010-04
12673,2010-11
12675,2010-05
12676,2010-08
12677,2010-02
12678,2010-01
12681,2009-12
12682,2009-12
12683,2009-12
12686,2010-12
12687,2010-08
12691,2010-10
12692,2010-03
12693,2010-07
12694,2010-10
12695,2010-02
12696,2010-07
12698,2010-04
12699,2010-10
12701,2010-03
12703,2010-01
12705,2010-06
12708,2009-12
12709,2009-12
12711,2010-02
12712,2009-12
12714,2009-12
12717,2010-04
12720,2010-07
12721,2010-08
12724,2010-06
12725,2010-05
12726,2010-03
12727,2010-02
12728,2010-11
12730,2010-07
12731,2010-03
12733,2010-01
12734,2010-11
12737,2010-07
12738,2010-12
12739,2010-11
12741,2010-06
12742,2010-03
12744,2010-04
12745,2010-01
12746,2010-06
12747,2009-12
12748,2009-12
12749,2010-07
12751,2010-09
12755,2010-01
12758,2009-12
12759,2009-12
12760,2010-09
12761,2010-09
12763,2010-12
12765,2010-03
12766,2010-10
12767,2010-11
12768,2010-09
12770,2010-09
12771,2010-08
12773,2010-05
12774,2010-06
12775,2010-10
12776,2010-02
12777,2010-09
12778,2010-04
12779,2009-12
12780,2010-04
12782,2010-07
12784,2010-06
12785,2009-12
12786,2010-04
12787,2010-10
12788,2010-06
12789,2010-01
12790,2010-10
12791,2010-03
12792,2010-06
12793,2010-11
12796,2010-03
12797,2010-10
12798,2010-10
12799,2010-06
12800,2010-02
12801,2010-07
12802,2010-05
12803,2010-11
12804,2010-07
12805,2010-02
12806,2010-04
12807,2010-11
12808,2010-09
12809,2010-03
12810,2010-02
12811,2010-10
12813,2010-01
12817,2010-10
12819,2010-09
12820,2009-12
12821,2010-04
12823,2010-01
12825,2010-03
12826,2009-12
12829,2010-06
12831,2010-09
12835,2009-12
12836,2009-12
12837,2010-05
12838,2010-04
12839,2009-12
12840,2010-02
12841,2010-07
12842,2009-12
12843,2009-12
12844,2010-04
12846,2010-01
12847,2010-11
12848,2010-02
12849,2010-04
12850,2010-09
12851,2010-08
12853,2010-02
12854,2009-12
12855,2010-11
12857,2010-01
12858,2010-11
12859,2010-09
12860,2010-01
12861,2010-03
12862,2010-08
12863,2010-04
12864,2010-07
12865,2010-08
12866,2010-07
12867,2009-12
12868,2010-11
12869,2010-01
12870,2010-03
12871,2010-09
12872,2009-12
12873,2010-01
12874,2010-06
12875,2010-01
12876,2010-04
12877,2010-01
12880,2010-05
12887,2010-11
12889,2010-07
12890,2010-11
12891,2010-02
12892,2010-11
12894,2010-05
12897,2010-06
12898,2010-02
12899,2010-10
12900,2010-10
12903,2010-10
12905,2010-01
12907,2010-08
12908,2010-03
12909,2010-02
12910,2010-03
12911,2010-06
12913,2009-12
12914,2010-11
12915,2010-04
12916,2010-01
12917,2009-12
12918,2010-03
12920,2009-12
12921,2009-12
12923,2010-05
12924,2009-12
12925,2010-04
12926,2009-12
12927,2010-11
12928,2010-06
12931,2009-12
12932,2010-02
12933,2009-12
12934,2009-12
12935,2010-04
12937,2009-12
12939,2010-01
12941,2009-12
12942,2010-12
12943,2010-04
12945,2010-02
12946,2010-09
12947,2010-12
12948,2009-12
12949,2009-12
12951,2010-01
12953,2010-07
12954,2010-03
12956,2009-12
12957,2009-12
12958,2010-05
12959,2010-08
12960,2010-02
12961,2010-11
12963,2010-07
12964,2010-09
12967,2010-11
12969,2010-04
12970,2009-12
12971,2009-12
12972,2010-02
12973,2010-10
12974,2010-05
12975,2009-12
12976,2010-02
12977,2010-07
12978,2009-12
12979,2009-12
12980,2009-12
12982,2010-04
12983,2010-04
12986,2010-01
12987,2010-01
12989,2009-12
12990,2010-03
12991,2010-11
12992,2009-12
12993,2010-02
12996,2010-11
12997,2010-04
12998,2010-02
13000,2009-12
13001,2009-12
13002,2010-10
13004,2009-12
13005,2010-09
13007,2010-05
13008,2009-12
13009,2010-02
13010,2010-03
13011,2010-12
13012,2010-04
13013,2009-12
13014,2010-10
13015,2010-04
13018,2010-03
13019,2009-12
13020,2010-02
13021,2009-12
13022,2010-10
13023,2010-06
13024,2010-05
13025,2009-12
13026,2009-12
13027,2010-01
13029,2010-07
13030,2010-12
13031,2010-06
13032,2010-09
13033,2010-10
13034,2010-11
13035,2010-10
13036,2010-01
13037,2009-12
13039,2009-12
13041,2010-04
13042,2009-12
13044,2010-01
13045,2010-08
13046,2010-09
13047,2009-12
13048,2010-01
13049,2010-11
13050,2009-12
13051,2010-03
13052,2010-02
13053,2010-03
13055,2010-10
13056,2010-06
13057,2010-03
13059,2010-03
13063,2010-08
13064,2010-04
13065,2010-06
13067,2010-09
13069,2010-06
13070,2009-12
13071,2010-04
13073,2010-09
13074,2009-12
13076,2010-09
13077,2009-12
13078,2009-12
13079,2010-10
13080,2010-04
13081,2009-12
13082,2009-12
13083,2010-10
13084,2010-08
13085,2009-12
13086,2010-11
13087,2009-12
13088,2010-10
13089,2009-12
13090,2010-08
13091,2009-12
13092,2010-02
13093,2009-12
13094,2010-11
13096,2010-11
13097,2009-12
13101,2010-01
13102,2010-05
13103,2010-05
13104,2010-02
13105,2010-09
13106,2010-10
13107,2010-02
13108,2010-09
13109,2010-06
13110,2009-12
13111,2009-12
13112,2010-06
13113,2010-03
13114,2009-12
13115,2010-04
13117,2010-03
13118,2010-09
13119,2010-02
13123,2010-06
13124,2010-11
13125,2010-07
13126,2010-03
13128,2010-03
13129,2010-06
13131,2010-02
13133,2010-09
13134,2010-10
13135,2010-08
13136,2009-12
13137,2010-07
13138,2010-11
13139,2010-09
13140,2010-08
13141,2009-12
13143,2010-05
13144,2010-10
13145,2010-04
13148,2009-12
13150,2010-03
13151,2010-03
13152,2010-01
13154,2009-12
13155,2010-08
13156,2010-02
13157,2010-03
13158,2010-11
13161,2010-07
13162,2009-12
13163,2010-04
13164,2010-02
13165,2010-10
13166,2010-10
13167,2010-11
13168,2010-06
13169,2010-05
13172,2010-11
13173,2009-12
13174,2009-12
13175,2009-12
13177,2010-10
13178,2009-12
13179,2010-03
13180,2010-04
13181,2010-11
13183,2010-03
13187,2010-03
13190,2009-12
13191,2010-02
13192,2010-01
13194,2010-10
13195,2010-10
13196,2010-04
13197,2010-04
13198,2010-10
13199,2009-12
13201,2010-03
13202,2009-12
13203,2009-12
13204,2009-12
13205,2010-09
13206,2009-12
13207,2010-04
13208,2009-12
13209,2010-01
13211,2009-12
13213,2010-05
13214,2010-03
13215,2010-11
13217,2010-02
13219,2010-03
13220,2010-05
13222,2010-05
13223,2010-02
13225,2009-12
13226,2010-11
13230,2010-03
13233,2010-01
13234,2009-12
13237,2010-11
13238,2010-04
13239,2010-07
13240,2010-02
13241,2010-10
13242,2010-02
13243,2010-03
13245,2010-10
13246,2010-07
13249,2010-01
13250,2010-07
13251,2010-11
13252,2010-03
13253,2010-01
13254,2010-11
13255,2010-07
13257,2010-09
13258,2010-11
13259,2010-01
13262,2010-04
13263,2010-10
13264,2010-09
13266,2009-12
13267,2009-12
13269,2009-12
13270,2010-12
13274,2010-10
13275,2010-03
13276,2010-03
13277,2010-06
13278,2010-04
13280,2010-03
13281,2010-09
13282,2010-10
13283,2010-03
13285,2010-03
13286,2010-04
13287,2010-01
13288,2010-02
13289,2009-12
13290,2010-09
13291,2010-02
13292,2010-07
13293,2010-02
13294,2010-03
13295,2010-05
13296,2010-05
13297,2010-06
13299,2010-06
13300,2010-05
13302,2010-07
13303,2010-11
13304,2010-02
13305,2010-03
13306,2010-10
13307,2010-04
13308,2010-04
13309,2010-11
13310,2010-11
13312,2010-09
13313,2009-12
13315,2010-01
13316,2010-03
13317,2009-12
13319,2009-12
13320,2010-08
13324,2010-05
13326,2010-10
13327,2009-12
13329,2009-12
13330,2010-02
13331,2010-11
13333,2010-02
13334,2010-02
13337,2010-06
13338,2010-01
13340,2010-02
13346,2010-04
13357,2010-03
13359,2010-11
13360,2010-01
13361,2010-04
13362,2010-10
13363,2010-10
13367,2010-10
13368,2010-10
