Customer ID,Total_Spending,Avg_Order_Value,Order_Count,Total_Quantity,Avg_Quantity,Customer_Type
12346,372.86,11.3,33,70,2.12,Retail
12347,1323.32,18.64,71,828,11.66,Retail
12348,222.16,11.11,20,373,18.65,Retail
12349,2671.14,26.19,102,993,9.74,Retail
12351,300.93,14.33,21,261,12.43,Retail
12352,343.8,19.1,18,188,10.44,Retail
12353,317.76,15.89,20,192,9.6,Retail
12355,488.21,22.19,22,303,13.77,Retail
12356,3560.3,42.9,83,1825,21.99,Retail
12357,12079.99,73.21,165,3879,23.51,Retail
12358,2719.01,46.88,58,831,14.33,Retail
12359,2563.36,21.91,117,1130,9.66,Retail
12360,1590.83,18.08,88,1294,14.7,Retail
12361,321.35,16.91,19,144,7.58,Retail
12362,130.0,130.0,1,1,1.0,Retail
12366,500.24,166.75,3,296,98.67,Wholesale
12368,917.7,50.98,18,330,18.33,Retail
12369,1791.15,19.26,93,1241,13.34,Retail
12370,774.62,22.13,35,252,7.2,Retail
12371,2179.42,20.96,104,845,8.12,Retail
12373,763.05,20.62,37,319,8.62,Retail
12374,2246.29,44.93,50,1020,20.4,Retail
12376,503.15,38.7,13,240,18.46,Retail
12377,1798.2,23.98,75,1161,15.48,Retail
12378,1407.7,17.17,82,787,9.6,Retail
12379,767.98,18.73,41,408,9.95,Retail
12380,6951.49,40.18,173,2228,12.88,Retail
12385,1938.4,29.82,65,612,9.42,Retail
12386,258.9,32.36,8,214,26.75,Retail
12387,143.94,15.99,9,134,14.89,Retail
12388,1120.45,24.36,46,539,11.72,Retail
12389,1433.33,29.25,49,614,12.53,Retail
12391,2285.18,13.13,174,911,5.24,Retail
12392,234.75,33.54,7,73,10.43,Retail
12393,816.85,19.0,43,495,11.51,Retail
12395,2048.64,20.9,98,1615,16.48,Retail
12396,931.43,14.33,65,591,9.09,Retail
12399,853.65,16.74,51,1020,20.0,Retail
12400,205.25,18.66,11,91,8.27,Retail
12402,1031.3,17.48,59,490,8.31,Retail
12403,591.66,147.92,4,164,41.0,Retail
12404,63.24,63.24,1,1,1.0,Retail
12406,2975.06,48.77,61,1598,26.2,Retail
12408,1452.22,26.89,54,820,15.19,Retail
12409,12346.62,79.66,155,7592,48.98,Retail
12410,320.38,22.88,14,130,9.29,Retail
12411,346.9,15.77,22,138,6.27,Retail
12412,1370.05,20.76,66,1168,17.7,Retail
12413,241.35,18.57,13,33,2.54,Retail
12414,390.0,39.0,10,195,19.5,Retail
12415,19543.84,92.19,212,14073,66.38,Wholesale
12416,202.56,18.41,11,132,12.0,Retail
12417,3148.31,17.79,177,1332,7.53,Retail
12418,1352.62,19.89,68,681,10.01,Retail
12419,503.01,20.12,25,231,9.24,Retail
12421,291.56,14.58,20,168,8.4,Retail
